variable,coefficient,p_value
Intercept,123.27729498819895,4.447329669623811e-06
C(provider_type)[T.Adult Congenital Heart Disease],-5.0799602031392155,0.9367533402653554
C(provider_type)[T.Advanced Heart Failure and Transplant Cardiology],-16.285538368193546,0.659019056329653
C(provider_type)[T.All Other Suppliers],113.60472172811821,0.00821175147500336
C(provider_type)[T.Allergy/ Immunology],-27.890745009955964,0.40160214059549804
C(provider_type)[T.Ambulance Service Provider],247.56916731366283,1.0736762935761498e-14
C(provider_type)[T.Ambulatory Surgical Center],1246.494517611811,3.0278695101142885e-221
C(provider_type)[T.Anesthesiology],13.1028514359962,0.6643522642705555
C(provider_type)[T.Anesthesiology Assistant],4.47095004629704,0.9125047645451958
C(provider_type)[T.Audiologist],-63.24346618943448,0.05015315795869764
C(provider_type)[T.Cardiac Surgery],175.76915984429138,4.5548305156422866e-07
C(provider_type)[T.Cardiology],3.174841742398499,0.9171131998926951
C(provider_type)[T.Centralized Flu],-14.668069530162082,0.6508791597542977
C(provider_type)[T.Certified Clinical Nurse Specialist],-22.428244441034572,0.4999769202725911
C(provider_type)[T.Certified Nurse Midwife],-31.200174142681846,0.4103373667955128
C(provider_type)[T.Certified Registered Nurse Anesthetist (CRNA)],16.243366487256893,0.5943658925101456
C(provider_type)[T.Chiropractic],-54.25920040082704,0.08539692838595982
C(provider_type)[T.Clinic or Group Practice],-22.150644795103858,0.6029196964414237
C(provider_type)[T.Clinical Cardiac Electrophysiology],50.53065170801405,0.12904504244168352
C(provider_type)[T.Clinical Laboratory],-72.71822141959109,0.04103572312689506
C(provider_type)[T.Colorectal Surgery (Proctology)],50.85906051384427,0.12685709021773534
C(provider_type)[T.Critical Care (Intensivists)],1.414494849256247,0.9660966351830256
C(provider_type)[T.Dental Anesthesiology],-2.885709171229534e-13,0.00023686885910235894
C(provider_type)[T.Dentist],169.34713016796832,0.0018527104726786714
C(provider_type)[T.Dermatology],41.267420656426225,0.18507691741563367
C(provider_type)[T.Diagnostic Radiology],-38.67787041943013,0.19877765703939426
C(provider_type)[T.Emergency Medicine],-14.038912162215457,0.6355094272341408
C(provider_type)[T.Endocrinology],-12.408013641419021,0.6938418058435106
C(provider_type)[T.Family Practice],-19.58284095275362,0.5016529905468581
C(provider_type)[T.Gastroenterology],27.461970510694844,0.3673322778161753
C(provider_type)[T.General Practice],-13.839121916286107,0.6481436675656809
C(provider_type)[T.General Surgery],44.6048983560903,0.13972656730746097
C(provider_type)[T.Geriatric Medicine],-10.832994579705314,0.7369945545770955
C(provider_type)[T.Geriatric Psychiatry],-9.335874258730426,0.8362222703546209
C(provider_type)[T.Gynecological Oncology],95.21499700084432,0.015017761937390352
C(provider_type)[T.Hand Surgery],120.58726843591498,0.0003541744919044156
C(provider_type)[T.Hematology],20.07221606044811,0.5773272379108949
C(provider_type)[T.Hematology-Oncology],-12.829091743481586,0.6816623174743976
C(provider_type)[T.Hematopoietic Cell Transplantation and Cellular Therapy],-22.2234291453299,0.6491779082951541
C(provider_type)[T.Home Infusion Therapy Services],-23.860599407674595,0.7827949907968165
C(provider_type)[T.Hospice and Palliative Care],4.735877334813677,0.891460825426027
C(provider_type)[T.Hospitalist],2.1217656600683643,0.9456664355892352
C(provider_type)[T.Independent Diagnostic Testing Facility (IDTF)],27.378679705053855,0.392274225045143
C(provider_type)[T.Infectious Disease],-3.8520391286490394,0.9058092124850736
C(provider_type)[T.Intensive Cardiac Rehabilitation],34.50474375150271,0.6901260849118013
C(provider_type)[T.Internal Medicine],-13.894533286744583,0.6357788909747657
C(provider_type)[T.Interventional Cardiology],55.243973333244504,0.07050475020344114
C(provider_type)[T.Interventional Pain Management],30.42856365684994,0.3374474825135574
