variable,coefficient,p_value
Intercept,122.94765679775753,4.725780020217036e-06
C(provider_type)[T.Adult Congenital Heart Disease],-4.674620605124048,0.941793285511251
C(provider_type)[T.Advanced Heart Failure and Transplant Cardiology],-16.16784463358713,0.6613387100493765
C(provider_type)[T.All Other Suppliers],111.92171223382249,0.009270476410876863
C(provider_type)[T.Allergy/ Immunology],-28.67424263364193,0.38866689144274136
C(provider_type)[T.Ambulance Service Provider],242.13481624730366,9.548190749366973e-14
C(provider_type)[T.Ambulatory Surgical Center],1245.8002600336363,6.058736908196084e-221
C(provider_type)[T.Anesthesiology],13.10368440870199,0.6643401747301223
C(provider_type)[T.Anesthesiology Assistant],4.737768925864162,0.9073105947112468
C(provider_type)[T.Audiologist],-63.09763579956199,0.050692630441218155
C(provider_type)[T.Cardiac Surgery],175.8800411709417,4.4840955989973557e-07
C(provider_type)[T.Cardiology],3.0102727870916315,0.9213985610150681
C(provider_type)[T.Centralized Flu],-14.668309264929746,0.6508820470405546
C(provider_type)[T.Certified Clinical Nurse Specialist],-22.35151743454622,0.5014564332408249
C(provider_type)[T.Certified Nurse Midwife],-30.80658617321604,0.41630525667193585
C(provider_type)[T.Certified Registered Nurse Anesthetist (CRNA)],16.307915284393992,0.5929118247641261
C(provider_type)[T.Chiropractic],-54.739374037507204,0.08271579341516003
C(provider_type)[T.Clinic or Group Practice],-21.902525632866002,0.6070021733599473
C(provider_type)[T.Clinical Cardiac Electrophysiology],50.53039429833213,0.12905670235816533
C(provider_type)[T.Clinical Laboratory],-75.36047440602206,0.03477943410919648
C(provider_type)[T.Colorectal Surgery (Proctology)],51.06177472904561,0.12536843386647825
C(provider_type)[T.Critical Care (Intensivists)],1.5201127339670406,0.9635679471108733
C(provider_type)[T.Dental Anesthesiology],6.094871029802347e-08,0.32036248090356956
C(provider_type)[T.Dentist],169.7071667008073,0.001812667561428258
C(provider_type)[T.Dermatology],41.09572943767578,0.1869292038146017
C(provider_type)[T.Diagnostic Radiology],-38.83915459386769,0.19693095803711796
C(provider_type)[T.Emergency Medicine],-14.020312378305087,0.6359658580337931
C(provider_type)[T.Endocrinology],-12.553297825958776,0.6904524541089304
C(provider_type)[T.Family Practice],-19.60095847470654,0.5012682501173221
C(provider_type)[T.Gastroenterology],27.60183914399301,0.3649154023541671
C(provider_type)[T.General Practice],-13.939313605630709,0.6457805103148018
C(provider_type)[T.General Surgery],44.719128621826215,0.13872907509290675
C(provider_type)[T.Geriatric Medicine],-10.733718691277357,0.7393242803291897
C(provider_type)[T.Geriatric Psychiatry],-9.32352516057178,0.8364399114471442
C(provider_type)[T.Gynecological Oncology],95.36171606731668,0.014866702475003046
C(provider_type)[T.Hand Surgery],120.69936351690706,0.0003498804453889952
C(provider_type)[T.Hematology],19.409620142600982,0.5900352165506058
